date,PERMNO,DLRETX,DLPRC,DLRET,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,OPENPRC,NUMTRD,RETX,Price,Open,High,Low,PRC_orcl,PRC_intc,PRC_infy,daily_return,log_volume,changeVolume01,changePrice01,changeVolume50,changePrice50,MovAvofV5days,Mov5Price,MovAvofV200days,MovAvof50daysPrice,percentile,rateofchange,sign,plus_minus,rateofchangePrice,signprice,money_flow_index,AO,KAMA,rsi,stochastic,TSI,ultimate,williamsR
2000-02-01,12490,,,,109.125,113.4375,109.9375,7304599,-0.020600999999999998,109.375,109.875,1802604,112.375,,-0.020600999999999998,104.77,104.86,105.12,104.4,54.0,101.4375,321.0,-0.02169076751946608,15.804014707751929,0.17245865467944377,-2.3125,,,2.753500916264619,112.8,,-0.05530582521425331,0.8095238095238095,0.011032724707246588,1.0,-2.0,-0.02060133630289529,-1.0,29.781794889840924,-3.214583333333323,118.09295341301313,35.75557787216564,-40.689655172413794,-39.38339833665352,40.15708562461099,-94.8
2000-02-02,12490,,,,110.375,115.8125,113.5,7707699,0.032405,113.25,113.75,1802604,112.0,,0.032405,104.58,104.8,105.16,104.35,54.3125,100.0625,335.5,0.013392857142857206,15.857730257416598,0.05371554966466974,3.5625,,,2.7592684273082164,112.15,,-0.023076837375951564,0.8181818181818182,0.003398854699769638,1.0,0.0,0.03240477544059117,1.0,29.533921770673828,-4.023863636363643,117.75780830912952,44.96781610755435,-26.896551724137932,-38.19325141802777,44.922030607725695,-72.0
2000-02-03,12490,,,,114.0625,117.5,117.125,6213799,0.031938,,,1802604,115.0,,0.031938,103.7,104.52,105.01,103.28,56.6875,104.1875,350.0,0.018478260869565277,15.642283022097203,-0.21544723531939525,3.625,,,2.755552418673926,112.875,,0.0075907730329314305,0.8260869565217391,-0.013586259308366766,-1.0,-2.0,0.0319383259911894,1.0,36.63548848221064,-3.8394021739130437,117.73490621246619,52.44091969940126,13.793103448275861,-36.29779208830536,46.341988705996506,-48.8
2000-02-04,12490,,,,114.8125,118.4375,115.625,5405799,-0.012806999999999999,115.375,115.875,1802604,118.1875,,-0.012806999999999999,104.2,103.6,104.75,103.42,57.8125,104.75,380.0,-0.021681649920676893,15.502982824217202,-0.1393001978800008,-1.5,,,2.7528778182599707,113.6875,,-0.004977332568923409,0.8333333333333334,-0.0089053623235954,-1.0,-2.0,-0.012806830309498363,-1.0,36.27954757864526,-2.9429687500000057,117.63946093903645,49.448611727523286,22.06896551724138,-34.79984205515466,46.5155824400548,-58.4
2000-02-07,12490,,,,113.125,116.875,114.125,5779500,-0.012972999999999998,113.875,114.25,1802604,116.0,,-0.012972999999999998,104.54,104.13,104.77,104.17,59.9375,107.9375,409.8125,-0.016163793103448287,15.569827731716458,0.06684490749925587,-1.5,,,2.7520905445302786,114.0625,,-0.016794854367912837,0.84,0.004311744924005101,1.0,-2.0,-0.012972972972972951,-1.0,36.3784661708924,-2.125,117.53647475879141,46.58591523784307,3.4482758620689653,-33.64368842860503,47.86903494886785,-68.0
2000-02-08,12490,,,,116.1875,119.0,119.0,5466599,0.043768,117.9375,119.125,1802604,116.9375,,0.042716000000000004,104.12,104.41,104.53,103.75,59.5625,108.8125,410.0,0.01763762693746651,15.514167226000929,-0.055660505715529496,4.875,,,2.7483855628224676,115.875,,0.023639300135378072,0.8461538461538461,-0.0035748954114724896,-1.0,-2.0,0.042716319824753546,1.0,36.2520547364142,-0.9052884615384613,117.54313375143336,55.58535443831171,37.241379310344826,-31.583916400649393,53.30212478337175,-36.8
2000-02-09,12490,,,,117.0,119.75,117.375,5374699,-0.013655,,,1802604,119.0,,-0.013655,103.63,104.06,104.05,103.22,59.9375,104.625,446.0,-0.013655462184873901,15.497213130409943,-0.01695409559098593,-1.625,,,2.7437580067846503,116.65,,0.009082180133473505,0.8518518518518519,-0.0010928137710525254,-1.0,-2.0,-0.013655462184873901,-1.0,28.520756304596475,0.08240740740740193,117.54206720978257,52.41520060615476,48.201438848920866,-29.95290193302067,49.12547808607264,-40.54054054054054
2000-02-10,12490,,,,116.875,119.125,119.125,4446599,0.014909,118.0,120.0,1802604,117.6875,,0.014909,104.05,103.5,104.27,103.48,62.3125,107.625,528.5,0.01221455124800852,15.307650092276551,-0.18956303813339126,1.75,,,2.7394434492282116,117.05,,0.02269092548842444,0.8571428571428571,-0.012232072730639199,-1.0,-2.0,0.014909478168264156,1.0,35.81564200414026,0.4758928571428669,117.61148859069085,55.367373376495635,64.35643564356435,-28.165330982919674,55.03075719943069,-27.272727272727273
2000-02-11,12490,,,,114.5625,119.4375,115.375,5749399,-0.03148,115.0,115.75,1802604,119.0625,,-0.03148,104.12,104.12,104.73,104.06,59.6875,105.875,670.0625,-0.030971128608923926,15.564605885571625,0.2569557932950737,-3.75,,,2.7402393799098625,117.0,,-0.008964982877355476,0.8620689655172413,0.01678610314098572,1.0,-2.0,-0.03147953830010497,-1.0,35.895631417834124,0.538577586206884,117.55729804214846,48.43320143029851,27.722772277227723,-27.00113135820827,50.664999431624416,-42.19653179190752
2000-02-14,12490,,,,114.5,116.375,116.0625,4544000,0.005959000000000001,115.75,116.125,1802604,116.0,,0.005959000000000001,104.63,104.05,104.8,103.82,62.1875,109.875,543.0,0.0005387931034481763,15.329318239383124,-0.2352876461885014,0.6875,,,2.737129335876945,117.3875,,-0.0028883839062530114,0.8666666666666667,-0.015116839315964525,-1.0,-4.0,0.005958829902491969,1.0,36.023081776642314,0.6666666666666714,117.52107879819556,49.67751233108719,26.73267326732673,-25.843419172927184,48.21182373472949,-35.83815028901734
